arm	inchikey	smiles	source	source_id	licence	fetched	mw	clogp	hbd	hba	tpsa	rotb	heavy	total_atoms	rings	frac_csp3	pains	ro5_viol	is_fragment	also_in	stratum
decoy	HVLMPZKZNIVYOE-UHFFFAOYSA-N	NCC1(CC(N)=O)CC1	coadd	CHEMBL4547804	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	128.17	-0.399	2	2	69.11	3	9	21	1	0.833	0	0	1		fragment
decoy	DTFBQVLNVYUNQW-DTWKUNHWSA-N	O=C(N[C@@H]1CNC[C@H]1CO)C1CCC1	coadd	CHEMBL4567368	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	198.27	-0.517	3	3	61.36	3	14	32	2	0.9	0	0	1		fragment
decoy	AOYXWYFGLFWATH-UHFFFAOYSA-N	NC1CCN(S(=O)(=O)C2CC2)CC1	coadd	CHEMBL4554338	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	204.29	-0.098	1	3	63.4	2	13	29	2	1.0	0	0	1		fragment
decoy	SJLSQITZGUTOMN-UHFFFAOYSA-N	OC1CNCCNC1	coadd	CHEMBL4585632	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	116.16	-1.46	3	3	44.29	0	8	20	1	1.0	0	0	1		fragment
decoy	VRZZMRYGHFNKEN-UHFFFAOYSA-N	CN1CCN(CC(N)=O)CC1	coadd	CHEMBL4544983	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	157.22	-1.281	1	3	49.57	2	11	26	1	0.857	0	0	1		fragment
decoy	SHHHPJIYJOZUCY-UHFFFAOYSA-N	CCOC(=O)Nc1cccc([As](=O)(O)O)c1	coadd	CHEMBL1467687	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	289.12	-0.184	3	3	95.86	3	16	28	1	0.222	0	0	1		fragment
decoy	CFKMVGJGLGKFKI-UHFFFAOYSA-N	Cc1cc(O)ccc1Cl	chembl_phase2	CHEMBL1230222	CC BY-SA 3.0	2026-09-25	142.58	2.354	1	1	20.23	0	9	16	1	0.143	0	0	1		fragment
decoy	FERIUCNNQQJTOY-UHFFFAOYSA-M	CCCC(=O)[O-]	chembl_phase2	CHEMBL62381	CC BY-SA 3.0	2026-09-25	87.1	-0.464	0	2	40.13	2	6	13	0	0.75	0	0	1		fragment
decoy	JOYRKODLDBILNP-UHFFFAOYSA-N	CCOC(N)=O	chembl_approved	CHEMBL462547	CC BY-SA 3.0	2026-09-25	89.09	0.102	1	2	52.32	1	6	13	0	0.667	0	0	1		fragment
decoy	MZPQMMXAIRCELT-UHFFFAOYSA-N	CN(C)C(=O)N1CCN(C(=O)CN)CC1	coadd	CHEMBL4514158	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	214.27	-1.229	1	3	69.88	1	15	33	1	0.778	0	0	1		fragment
decoy	BOJWRBHXAWFZOJ-UHFFFAOYSA-N	CN(c1ccc(F)cc1)S(=O)(=O)N1CCCCC1	coadd	CHEMBL4526559	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	272.35	1.993	0	2	40.62	3	18	35	2	0.5	0	0	1		fragment
decoy	GYTUNMBXYMEZCB-UHFFFAOYSA-N	Cc1cc(C(=O)NCCNC2CC2)ccc1F	coadd	CHEMBL4593781	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	236.29	1.616	2	2	41.13	5	17	34	2	0.462	0	0	1		fragment
decoy	JIWPFQSVGHOSSG-UHFFFAOYSA-N	O=C(c1ccccc1)N1CCN(Cc2ccco2)CC1	coadd	CHEMBL4584927	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	270.33	2.238	0	3	36.69	3	20	38	3	0.312	0	0	1		fragment
decoy	SPLIVFYNGMDOBZ-UHFFFAOYSA-N	Cn1c(CN)nc2cc(Cl)ccc21	coadd	CHEMBL4553530	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	195.65	1.685	1	2	43.84	1	13	23	2	0.222	0	0	1		fragment
decoy	HJXDCJDHQUQKKW-UHFFFAOYSA-N	NCc1ccc(NC(=O)c2ccccc2O)cc1	coadd	CHEMBL4551695	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	242.28	2.103	3	3	75.35	3	18	32	2	0.071	0	0	1		fragment
decoy	QIAFMBKCNZACKA-UHFFFAOYSA-N	O=C(O)CNC(=O)c1ccccc1	chembl_approved	CHEMBL1201104	CC BY-SA 3.0	2026-09-25	179.18	0.501	2	2	66.4	3	13	22	1	0.111	0	0	1		fragment
decoy	PLWRKSTVTHJZMM-UHFFFAOYSA-N	O=C(NCc1ccccc1)N1CCNCC(O)C1	coadd	CHEMBL4583167	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	249.31	0.162	3	3	64.6	2	18	37	2	0.462	0	0	1		fragment
decoy	QDRACLAKIZITPM-UHFFFAOYSA-N	CCCN1CC(C(=O)NCc2cccnc2)CC1=O	coadd	CHEMBL4546817	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	261.32	0.956	1	3	62.3	5	19	38	2	0.5	0	0	1		fragment
decoy	AHOJTPZHHMJMCW-UHFFFAOYSA-N	CCN1CCC(O)CC1	coadd	CHEMBL4526324	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	129.2	0.463	1	2	23.47	1	9	24	1	1.0	0	0	1		fragment
decoy	NFGGQMYSOLVBLF-UHFFFAOYSA-N	O=C(c1ccccc1)c1ccc[nH]1	coadd	CHEMBL2136039	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	171.2	2.246	1	1	32.86	2	13	22	2	0.0	0	0	1		fragment
decoy	VKJXAQYPOTYDLO-UHFFFAOYSA-N	Cc1ccc(CCN)cc1	coadd	CHEMBL103299	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	135.21	1.496	1	1	26.02	2	10	23	1	0.333	0	0	1		fragment
decoy	RLZUSGLTXIXXAP-UHFFFAOYSA-N	NCC1CCCNC1=O	coadd	CHEMBL4576575	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	128.18	-0.529	2	2	55.12	1	9	21	1	0.833	0	0	1		fragment
decoy	HPHUVLMMVZITSG-LURJTMIESA-N	CC[C@@H](C(N)=O)N1CCCC1=O	chembl_approved	CHEMBL1286	CC BY-SA 3.0	2026-09-25	170.21	-0.127	1	2	63.4	3	12	26	1	0.75	0	0	1	coadd:CHEMBL1286	fragment
decoy	JVFJSUCEQDCCAH-UHFFFAOYSA-N	NCCNS(=O)(=O)c1ccccc1	coadd	CHEMBL2448846	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	200.26	-0.076	2	3	72.19	4	13	25	1	0.25	0	0	1		fragment
decoy	AEBUFXQFNREKLG-UHFFFAOYSA-N	COC(CN)CC(N)=O	coadd	CHEMBL4581725	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	132.16	-1.164	2	3	78.34	4	9	21	0	0.8	0	0	1		fragment
decoy	DXLMAWKTIWMTIM-UHFFFAOYSA-N	CC(C(N)=O)N1CCNCC1	coadd	CHEMBL4532895	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	157.22	-1.235	2	3	58.36	2	11	26	1	0.857	0	0	1		fragment
decoy	KTUOCBPRVGCOOV-UHFFFAOYSA-N	O=C1CCN(S(=O)(=O)N2CCCCC2)CCN1	coadd	CHEMBL4567375	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	261.35	-0.461	1	3	69.72	2	17	36	2	0.9	0	0	1		fragment
decoy	NIJJYAXOARWZEE-UHFFFAOYSA-N	CCCC(CCC)C(=O)O	chembl_approved	CHEMBL109	CC BY-SA 3.0	2026-09-25	144.21	2.287	1	1	37.3	5	10	26	0	0.875	0	0	1	chembl_approved:CHEMBL2105613;coadd:CHEMBL109	fragment
decoy	JVTAAEKCZFNVCJ-UWTATZPHSA-N	C[C@@H](O)C(=O)O	chembl_phase3	CHEMBL358850	CC BY-SA 3.0	2026-09-25	90.08	-0.548	2	2	57.53	1	6	12	0	0.667	0	0	1		fragment
decoy	QXLPXWSKPNOQLE-UHFFFAOYSA-N	C#CC(C)(O)CC	chembl_phase2	CHEMBL501613	CC BY-SA 3.0	2026-09-25	98.14	0.781	1	1	20.23	1	7	17	0	0.667	0	0	1		fragment
decoy	UHCNQJGLFZQVRB-UHFFFAOYSA-N	Cc1cc(N2CCNC2=O)ccc1NS(=O)(=O)C1CC1	coadd	CHEMBL4562390	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	295.36	1.429	2	3	78.51	4	20	37	3	0.462	0	0	1		fragment
decoy	VEZXEOWXHFHYHC-CMDGGOBGSA-N	CC1(C)NC(=O)C(/C=C/c2ccccc2)O1	chembl_phase2	CHEMBL2106979	CC BY-SA 3.0	2026-09-25	217.27	1.951	1	2	38.33	2	16	31	2	0.308	0	0	1		fragment
decoy	JYNVGCAZMIHJTI-UHFFFAOYSA-N	CS(=O)(=O)Cc1ccc(C(=O)Nc2ccccc2)cc1	coadd	CHEMBL4566522	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	289.36	2.484	1	3	63.24	4	20	35	2	0.133	0	0	1		fragment
decoy	BUJAGSGYPOAWEI-UHFFFAOYSA-N	Cc1cccc(C)c1NC(=O)C(C)N	chembl_approved	CHEMBL1762	CC BY-SA 3.0	2026-09-25	192.26	1.589	2	2	55.12	2	14	30	1	0.364	0	0	1	chembl_approved:CHEMBL1200773;coadd:CHEMBL1762	fragment
decoy	YYRKUIUQAYBENO-UHFFFAOYSA-N	O=C1CC(c2ccc(F)cc2F)c2cn[nH]c2N1	coadd	CHEMBL4534895	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	249.22	2.162	2	2	57.78	1	18	27	3	0.167	0	0	1		fragment
decoy	CWXYHOHYCJXYFQ-UHFFFAOYSA-N	O=C(O)CCNC(=O)c1ccccc1	chembl_phase2	CHEMBL1231530	CC BY-SA 3.0	2026-09-25	193.2	0.891	2	2	66.4	4	14	25	1	0.2	0	0	1	coadd:CHEMBL1231530	fragment
decoy	DQMZLTXERSFNPB-UHFFFAOYSA-N	CCC1(c2ccccc2)C(=O)NCNC1=O	chembl_approved	CHEMBL856	CC BY-SA 3.0	2026-09-25	218.26	0.538	2	2	58.2	2	16	30	2	0.333	0	0	1	coadd:CHEMBL856	fragment
decoy	QSRCHYWYLVMUOO-UHFFFAOYSA-N	Cc1cccn2cc(CCNS(C)(=O)=O)nc12	coadd	CHEMBL4547338	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	253.33	0.734	1	3	63.47	4	17	32	2	0.364	0	0	1		fragment
decoy	PGGCTNQYCZTVNL-UHFFFAOYSA-N	OCC12CCN(CC1)CC2	coadd	CHEMBL4519854	CC BY-SA 3.0 via ChEMBL. NOT taken from db.co-add.org, whose own notice restricts systematic download and non-commercial use	2026-09-26	141.21	0.465	1	2	23.47	1	10	25	3	1.0	0	0	1		fragment
