inchikey	smiles	source	source_id	licence	fetched	mw	clogp	hbd	hba	tpsa	rotb	heavy	total_atoms	rings	frac_csp3	pains	ro5_viol	is_fragment	also_in
FJLGEFLZQAZZCD-VAWYXSNFSA-M	CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21	chembl_approved	CHEMBL2218894	CC BY-SA 3.0	2026-09-25	410.47	3.293	2	4	85.52	8	30	55	3	0.292	0	0	0	
FJLGEFLZQAZZCD-VAWYXSNFSA-N	CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21	chembl_approved	CHEMBL2220442	CC BY-SA 3.0	2026-09-25	411.47	4.628	3	3	82.69	8	30	56	3	0.292	0	0	0	
FJZZPCZKBUKGGU-AUSIDOKSSA-N	CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2	chembl_approved	CHEMBL2110588	CC BY-SA 3.0	2026-09-25	404.55	3.432	2	5	71.03	11	29	65	3	0.696	0	0	0	chembl_approved:CHEMBL5723563
FKENQMMABCRJMK-RITPCOANSA-M	CC1(C)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O	chembl_approved	CHEMBL1200944	CC BY-SA 3.0	2026-09-25	232.24	-2.13	0	5	94.58	1	15	25	2	0.75	0	0	0	
FKENQMMABCRJMK-RITPCOANSA-N	CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O	chembl_approved	CHEMBL403	CC BY-SA 3.0	2026-09-25	233.24	-0.795	1	4	91.75	1	15	26	2	0.75	0	0	0	
FKRSSPOQAMALKA-CUPIEXAXSA-N	COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C	chembl_approved	CHEMBL2023898	CC BY-SA 3.0	2026-09-25	738.89	6.222	4	8	174.64	11	54	104	6	0.45	0	2	0	chembl_approved:CHEMBL2303621
FLOSMHQXBMRNHR-QPJJXVBHSA-N	CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C	chembl_approved	CHEMBL19	CC BY-SA 3.0	2026-09-25	236.28	-1.424	1	5	107.41	1	14	22	1	0.4	0	0	0	
FMGSKLZLMKYGDP-USOAJAOKSA-N	C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12	chembl_approved	CHEMBL90593	CC BY-SA 3.0	2026-09-25	288.43	3.879	1	2	37.3	0	21	49	4	0.842	0	0	0	
FMHHVULEAZTJMA-UHFFFAOYSA-N	Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1	chembl_approved	CHEMBL1475	CC BY-SA 3.0	2026-09-25	228.25	3.464	0	3	43.35	0	17	29	3	0.214	0	0	0	
FMJSMJQBSVNSBF-UHFFFAOYSA-N	CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1	chembl_approved	CHEMBL1201147	CC BY-SA 3.0	2026-09-25	361.49	5.772	0	3	50.09	9	27	54	2	0.333	0	1	0	
FMTDIUIBLCQGJB-SEYHBJAFSA-N	CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12	chembl_approved	CHEMBL1591	CC BY-SA 3.0	2026-09-25	464.86	0.265	6	9	181.62	2	32	53	4	0.381	0	1	0	chembl_approved:CHEMBL1200474
FNHKPVJBJVTLMP-UHFFFAOYSA-N	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1	chembl_approved	CHEMBL1946170	CC BY-SA 3.0	2026-09-25	482.82	5.689	3	4	92.35	5	33	48	3	0.095	0	1	0	
FNKQXYHWGSIFBK-RPDRRWSUSA-N	C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1	chembl_approved	CHEMBL1201774	CC BY-SA 3.0	2026-09-25	241.25	-1.7	6	7	136.29	2	17	32	2	0.556	0	1	0	chembl_approved:CHEMBL1201775
FNPXMHRZILFCKX-KAJVQRHHSA-N	CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C	chembl_approved	CHEMBL1200386	CC BY-SA 3.0	2026-09-25	488.58	3.699	1	8	116.2	6	35	71	4	0.704	0	0	0	
FNYLWPVRPXGIIP-UHFFFAOYSA-N	Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1	chembl_approved	CHEMBL585	CC BY-SA 3.0	2026-09-25	253.27	0.833	3	7	129.62	1	19	30	3	0.0	0	0	0	
FOCVUCIESVLUNU-UHFFFAOYSA-N	S=P(N1CC1)(N1CC1)N1CC1	chembl_approved	CHEMBL671	CC BY-SA 3.0	2026-09-25	189.22	0.158	0	1	9.03	3	11	23	3	1.0	0	0	1	
FOGXJPFPZOHSQS-AYVLZSQQSA-N	CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C	chembl_approved	CHEMBL1200953	CC BY-SA 3.0	2026-09-25	488.62	4.094	1	7	106.97	7	35	75	4	0.786	0	0	0	
FOHHNHSLJDZUGQ-UHFFFAOYSA-N	CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12	chembl_approved	CHEMBL1107	CC BY-SA 3.0	2026-09-25	500.43	8.644	1	2	23.47	10	33	63	3	0.462	0	2	0	chembl_approved:CHEMBL1200901
FPCCSQOGAWCVBH-UHFFFAOYSA-N	O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1	chembl_approved	CHEMBL51	CC BY-SA 3.0	2026-09-25	395.43	2.424	1	4	75.17	5	29	51	4	0.318	0	0	0	
FPIPGXGPPPQFEQ-OVSJKPMPSA-N	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1	chembl_approved	CHEMBL986	CC BY-SA 3.0	2026-09-25	286.46	5.51	1	1	20.23	5	21	51	1	0.5	0	1	0	
FPOHNWQLNRZRFC-ZHACJKMWSA-N	Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1	chembl_approved	CHEMBL483254	CC BY-SA 3.0	2026-09-25	349.43	3.327	4	3	77.15	7	26	49	3	0.19	1	0	0	chembl_approved:CHEMBL3545368
FPPNZSSZRUTDAP-UWFZAAFLSA-L	CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-]	chembl_approved	CHEMBL606260	CC BY-SA 3.0	2026-09-25	376.39	-2.183	1	7	129.67	5	26	42	3	0.412	0	0	0	
FPPNZSSZRUTDAP-UWFZAAFLSA-N	CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O	chembl_approved	CHEMBL1214	CC BY-SA 3.0	2026-09-25	378.41	0.486	3	5	124.01	5	26	44	3	0.412	0	0	0	
FPVKHBSQESCIEP-JQCXWYLXSA-N	OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O	chembl_approved	CHEMBL1580	CC BY-SA 3.0	2026-09-25	268.27	-1.18	4	7	112.13	2	19	35	3	0.636	0	0	0	
FPZLLRFZJZRHSY-HJYUBDRYSA-N	CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O	chembl_approved	CHEMBL376140	CC BY-SA 3.0	2026-09-25	585.66	0.513	7	11	205.76	6	42	81	4	0.517	0	3	0	
FRVSRBKUQZKTOW-YOCNBXQISA-N	CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(=O)(=O)CC)CC3)CC2)C1)C(C)C	chembl_approved	CHEMBL4650827	CC BY-SA 3.0	2026-09-25	630.83	4.679	1	8	107.97	11	44	91	5	0.656	0	1	0	chembl_approved:CHEMBL6068395
FSQKKOOTNAMONP-UHFFFAOYSA-N	COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	chembl_approved	CHEMBL189171	CC BY-SA 3.0	2026-09-25	415.83	3.471	1	5	94.83	6	29	47	3	0.19	0	0	0	
FSVJFNAIGNNGKK-UHFFFAOYSA-N	O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1	chembl_approved	CHEMBL976	CC BY-SA 3.0	2026-09-25	312.41	2.535	0	2	40.62	1	23	47	4	0.579	0	0	0	
