MPN280,MPN621,mass_kDa
24.2350117389622,25.0934562517011,1542.774025415947
21.1765451740658,20.5864047724067,1219.67217205823
21.6175412684638,21.5544989202444,964.2372653326004
21.4373163887431,,762.2978740976824
21.1812359500676,,602.6504779955835
21.0468428989713,,476.43790041813236
21.8950426932991,20.8927626518261,376.6579157288936
28.0644342113056,27.8468956281669,297.7747684571801
24.3859644050358,23.2768652333414,235.41205169719294
24.1487226030141,22.8524732010409,186.1099057230936
24.7052987351883,23.8604340232878,147.13306629182995
24.4922741576409,23.402102525518,116.31911322681312
23.5185705571731,22.7213488507773,91.95850017178272
22.692719537176,21.5068809000116,72.69970961139046
23.1492587060211,22.0827573814679,57.474271195239346
22.2523496667716,21.0990100021143,45.437483410612714
21.6136080865316,20.3253182352236,35.92154986491969
21.2643945277902,19.9868838233724,28.39853019669054
20.6800298023282,18.9228863262244,22.451050145804935
19.838667395919,,17.749145788826365
19.9945292205778,20.5703824431537,14.03195726645675
20.5339875078106,,11.093256378096829
18.4690076497762,,8.770005119981388
18.3011469821812,,6.933310398952051
,16.3649553784819,5.481273092839274
